,dataName,cycleNumber,region,deltaLc,forceBefore,forceAfter,lcBefore,lcAfter,maxSustainableForce,time
0,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,0,pulling,0,50.79354016,50.79354016,125.8943643,125.8943643,50.79354016,
1,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,1,pulling,0,50.53262342,50.53262342,126.5378632,126.5378632,50.53262342,
2,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,2,pulling,0,50.77322043,50.77322043,125.8416944,125.8416944,50.77322043,
3,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,3,pulling,68.90968728,10.91549804,11.68616809,10.61858207,79.52826936,10.91549804,46.145
4,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,3,pulling,68.66945239,11.92751912,11.65222589,12.79851264,81.46796503,11.92751912,46.217
5,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,3,pulling,69.86174493,11.95876379,11.62392168,13.41845093,83.28019586,11.95876379,46.221
6,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,3,pulling,110.0768559,12.23010216,11.66974986,17.42872178,127.5055777,12.23010216,46.251
7,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,4,pulling,0,50.1103394,50.1103394,125.2781001,125.2781001,50.1103394,
8,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,5,pulling,0,50.76107439,50.76107439,123.9722201,123.9722201,50.76107439,
9,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,6,pulling,0,50.84275929,50.84275929,126.6062003,126.6062003,50.84275929,
10,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,7,pulling,34.82577417,6.270625787,7.297080795,74.99936069,109.8251349,6.270625787,103.677
11,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,7,pulling,33.59674611,6.312475219,7.333771833,77.01576964,110.6125158,6.312475219,103.687
12,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,8,pulling,0,51.27755484,51.27755484,127.0490766,127.0490766,51.27755484,
13,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,9,pulling,0,50.93415067,50.93415067,126.1062555,126.1062555,50.93415067,
14,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,10,retracting,-18.12547201,38.5616672,35.77681989,157.7112562,139.5857842,50.74076827,150.297
15,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,10,retracting,-19.22085044,38.5057103,35.55484453,157.3513932,138.1305428,50.74076827,150.301
16,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,11,pulling,0,50.91593187,50.91593187,126.3332164,126.3332164,50.91593187,
17,20210831-143835 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #015,12,pulling,0,50.80452718,50.80452718,123.3643182,123.3643182,50.80452718,
