,dataName,cycleNumber,region,deltaLc,forceBefore,forceAfter,lcBefore,lcAfter,maxSustainableForce,time
0,20210823-192142 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #025,0,pulling,100.8518381,10.53909936,11.05973977,-9.167269819,91.68456832,10.53909936,2.093
3,20210823-192142 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #025,2,pulling,50.59086473,6.135364328,7.739293487,44.84506004,95.43592476,6.135364328,27.193
6,20210823-192142 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #025,5,pulling,28.60158083,36.21432407,39.81576279,104.3190143,132.9205951,36.21432407,66.901
