,dataName,cycleNumber,region,deltaLc,forceBefore,forceAfter,lcBefore,lcAfter,maxSustainableForce,time
0,20210825-175922 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #023,0,pulling,49.90677716250549,18.300109434764234,21.5623943206699,28.78320127099131,78.6899784334968,18.300109434764234,3.6529999999999996
1,20210825-175922 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #023,0,pulling,51.19019871740696,21.784680407366253,25.74717651590589,78.82914551953928,130.01934423694624,21.784680407366253,4.018999999999999
3,20210825-175922 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #023,2,pulling,53.37287211323358,19.2545743239483,22.89991581367576,72.18351736226032,125.5563894754939,19.2545743239483,34.809
5,20210825-175922 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #023,4,pulling,0.0,41.61569624621485,41.61569624621485,126.51010252618758,126.51010252618758,41.61569624621485,
