,dataName,cycleNumber,region,deltaLc,forceBefore,forceAfter,lcBefore,lcAfter,maxSustainableForce,time
0,20210825-194015 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #038,0,pulling,33.7367387,8.206157367,10.76159747,28.85441912,62.59115781,8.206157367,3.781
1,20210825-194015 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #038,0,pulling,59.02190725,11.93332762,13.41090529,62.61003232,121.6319396,11.93332762,4.177
1,20210825-194015 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #038,4,pulling,46,42,42,121,75,42,
,,5,,30,42,42,45,45,42,
