,dataName,cycleNumber,region,deltaLc,forceBefore,forceAfter,lcBefore,lcAfter,maxSustainableForce,time
0,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,0,pulling,33.47255840935729,10.71191056781296,13.386532837086344,2.769310694794706,36.241869104151995,10.71191056781296,2.733
1,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,0,pulling,99.05527647907365,12.929385706614376,12.441130273926024,21.952516995116945,121.0077934741906,12.929385706614376,2.930999999999999
2,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,1,pulling,0.0,42.93029420294282,42.93029420294282,124.44945247371554,124.44945247371554,42.93029420294282,
3,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,2,pulling,0.0,43.171268844082434,43.171268844082434,126.6971317108621,126.6971317108621,43.171268844082434,
4,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,3,pulling,0.0,43.10023837716425,43.10023837716425,126.61265854789376,126.61265854789376,43.10023837716425,
5,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,4,pulling,0.0,42.94426807870399,42.94426807870399,120.03469988754337,120.03469988754337,42.94426807870399,
6,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,5,pulling,0.0,43.09541910230664,43.09541910230664,124.63723805057671,124.63723805057671,43.09541910230664,
7,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,6,pulling,0.0,42.864183646001024,42.864183646001024,128.97785056963428,128.97785056963428,42.864183646001024,
8,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,7,pulling,0.0,42.97064583031796,42.97064583031796,124.94904572730614,124.94904572730614,42.97064583031796,
9,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,8,pulling,0.0,43.07303975898297,43.07303975898297,123.71095252388362,123.71095252388362,43.07303975898297,
10,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,9,pulling,0.0,42.715073324582136,42.715073324582136,124.88950956474636,124.88950956474636,42.715073324582136,
11,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,10,pulling,0.0,43.190291956783504,43.190291956783504,124.33485401652094,124.33485401652094,43.190291956783504,
12,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,11,pulling,0.0,42.69249222638409,42.69249222638409,126.34655778919054,126.34655778919054,42.69249222638409,
13,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,12,pulling,0.0,42.95182777226614,42.95182777226614,123.5985544752478,123.5985544752478,42.95182777226614,
14,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,13,pulling,0.0,42.982936410745296,42.982936410745296,124.05472097669774,124.05472097669774,42.982936410745296,
15,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,14,pulling,0.0,42.87948077091474,42.87948077091474,124.44589171528473,124.44589171528473,42.87948077091474,
16,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,15,pulling,0.0,42.74463733403734,42.74463733403734,125.80829336075381,125.80829336075381,42.74463733403734,
17,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,16,pulling,0.0,42.68384128083261,42.68384128083261,125.82485186607161,125.82485186607161,42.68384128083261,
18,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,17,pulling,0.0,42.72529668868103,42.72529668868103,125.08903193407136,125.08903193407136,42.72529668868103,
19,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,18,pulling,0.0,42.670625004300064,42.670625004300064,125.93872378185733,125.93872378185733,42.670625004300064,
