,dataName,cycleNumber,region,deltaLc,forceBefore,forceAfter,lcBefore,lcAfter,maxSustainableForce,time
0,20210825-172900 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #007,0,pulling,20.3778603,10.70328023,14.45243946,11.16333727,31.54119758,10.70328023,2.877
1,20210825-172900 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #007,0,pulling,95.70334583,20.02972759,19.30908254,31.60636202,127.3097078,20.02972759,3.467
4,20210825-172900 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #007,3,pulling,9.993844648,38.90840236,35.81961958,117.1463945,127.1402392,38.90840236,44.493
14,20210825-172900 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #007,13,pulling,107.6565839,13.36934601,12.41454509,22.59653639,130.2531203,13.36934601,174.877
19,20210825-172900 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #007,18,retracting,21.15122674,13.98931164,8.964727521,123.4459361,144.5971628,41.18209232,243.995
20,20210825-172900 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #007,19,pulling,0,41.74409472,41.74409472,138.8364373,138.8364373,41.74409472,
21,20210825-172900 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #007,20,pulling,0,42.14688775,42.14688775,140.0994813,140.0994813,42.14688775,
22,20210825-172900 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #007,21,pulling,0,41.45382119,41.45382119,139.564651,139.564651,41.45382119,
