,Unnamed: 0,time,trapSepX,PSD1ForceX,PSD2ForceX,MirrorX,forceX,region,pullingCycle,PSD1xDisplacement,PSD2xDisplacement,surfaceSepX,proteinLc
0,0,0.036000000000000004,3310.0133026555773,-0.5839358836617622,0.6795565923991959,3310.0133026555773,0.9317462380304791,stationary,0,-2.2239257213584467,2.3742628408115296,1376.902974796896,249.40879979572074
1,1,0.038,3309.9625262519094,-0.5744673513572274,0.4850115674817979,3309.9625262519094,0.8297394594195127,stationary,0,-2.1878647202712695,1.69455341161539,1377.629186090176,119.99449618017938
2,2,0.04,3309.9887547707617,-0.6212239047281118,0.6389351341547623,3309.9887547707617,0.9300795194414371,stationary,0,-2.365937526880651,2.2323379151643072,1376.891122341302,246.92285408921683
3,3,0.042,3309.986000159288,-0.3614774445072077,0.14106182671693954,3309.986000159288,0.5512696356120736,stationary,0,-1.3766905049393205,0.492847626197822,1379.7737702807729,-68.4533558487017
4,4,0.044000000000000004,3310.028053883208,-0.1850547867731829,-0.4066380973447327,3310.028053883208,0.1892083447142251,stationary,0,-0.7047830278636696,-1.4207289502928568,1382.5736521843442,-174.0612969874601
5,5,0.046,3310.0158446012983,0.10100318416817107,-0.19291263192086605,3310.0158446012983,0.15304209195548144,stationary,0,0.3846716488839901,-0.6740061072408874,1382.836921981579,-182.00319552706065
6,6,0.048,3310.007537885059,0.0893407862083079,-0.04941213907079259,3310.007537885059,0.23062353736044974,stationary,0,0.3402552882503263,-0.17263816876031118,1382.237675825707,-165.47453744446537
7,7,0.05,3309.9475405498547,0.15393426507968477,0.3792288863671127,3309.9475405498547,0.41264731064371396,stationary,0,0.5862602061075178,1.3249655188906666,1380.7911997258655,-119.75515294342627
8,8,0.052000000000000005,3310.0013266125648,-0.3576006661236498,0.19451171077461668,3310.0013266125648,0.5760561884491333,stationary,0,-1.3619257552391724,0.6795930348705399,1379.6002970594948,-57.215808902265806
9,9,0.054000000000000006,3309.9989683926665,0.3247320800736723,-0.17752770005455198,3309.9989683926665,0.04887010993588786,stationary,0,1.2367454126939468,-0.6202535979617942,1383.6135258680752,-199.68166706521617
10,10,0.055999999999999994,3309.9934900899193,0.010956964857411534,-0.16487311027361734,3309.9934900899193,0.21208496243448555,stationary,0,0.04172971152520002,-0.5760404704332827,1382.3648367309358,-169.2968419096234
11,11,0.057999999999999996,3309.975805299881,-0.3440173211401939,0.2796743551275287,3309.975805299881,0.6118458381338613,stationary,0,-1.3101934484294564,0.9771377929877391,1379.3021652609023,-39.525253468579606
12,12,0.06,3309.9725869974113,-0.3952667718358453,0.1346102240011371,3309.9725869974113,0.5649384979184913,stationary,0,-1.5053774999606504,0.4703067506281678,1379.6562411180973,-62.30790821244519
13,13,0.062,3310.002857743875,-0.2771253236043236,0.22056585127410075,3310.002857743875,0.5488455874392122,stationary,0,-1.0554345989814633,0.7706220651663263,1379.8090918893472,-69.54523420994187
14,14,0.064,3309.9505022773437,-0.23794970083593786,0.5975194525700618,3309.9505022773437,0.7177345767029999,stationary,0,-0.9062338432777531,2.0876380992648342,1378.470305573858,24.524588102466264
15,15,0.066,3309.9773422535445,-0.07871373483223669,0.19706768521904414,3309.9773422535445,0.4378907100256404,stationary,0,-0.2997820555569712,0.6885232037679422,1380.628721945623,-111.72366532823318
16,16,0.068,3309.990343596811,-0.5115893610282048,0.4572199526736868,3309.990343596811,0.7844046568509457,stationary,0,-1.9483932578854453,1.5974539219436248,1378.0023195436636,76.81612223669856
17,17,0.07,3309.9949947265727,-0.7624859729104984,0.4556074064005092,3309.9949947265727,0.9090466896555038,stationary,0,-2.9039355428838447,1.591819941288713,1377.057569787225,215.68824640942805
18,18,0.07200000000000001,3309.983179184903,0.14751965122392216,-0.232492137188798,3309.983179184903,0.10999410579363991,stationary,0,0.5618300843329226,-0.8122906146188282,1383.1321539469225,-193.14646194165695
19,19,0.07400000000000001,3309.9961699320143,0.2932069000780817,-0.01447393182342283,3309.9961699320143,0.14615958404924773,stationary,0,1.1166814456998257,-0.05056961976848148,1382.8696715142953,-183.63002291611866
20,20,0.076,3310.033718782127,0.1272464652306918,-0.15479859452978012,3310.033718782127,0.15897747011976404,stationary,0,0.48461945034772924,-0.5408417119526758,1382.8095862668185,-180.64058255779443
21,21,0.078,3309.9435697859253,-0.2040934263617384,-0.20914193554452198,3309.9435697859253,0.2974757454086082,stationary,0,-0.7772918793751603,-0.7307087173794389,1381.6644931050105,-150.79137772599418
22,22,0.08,3310.044411997356,-0.12114668251083395,0.40520948766842446,3310.044411997356,0.5631780850896292,stationary,0,-0.46138836613977996,1.415737614903839,1379.741475218184,-63.23684415478531
23,23,0.08199999999999999,3309.9889086509593,0.4323769340871029,0.13470910321216842,3309.9889086509593,0.15116608456253272,stationary,0,1.6467119283859495,0.4706522188924835,1382.8242756175162,-182.43076190775793
24,24,0.084,3310.013312173352,-0.041459315589911366,-0.1557154422679556,3310.013312173352,0.24287193666097787,stationary,0,-0.1578982229215567,-0.5440450323821735,1382.150153808662,-162.9173592152181
25,25,0.086,3309.98429682384,-0.2170947672329548,-0.16105190721485055,3309.98429682384,0.3280214300090521,stationary,0,-0.8268076176345255,-0.5626897936374112,1381.4725530451833,-143.42923487456278
26,26,0.08800000000000001,3309.9956851037364,0.018846724437927436,0.4370959067930916,3309.9956851037364,0.5091245911775821,stationary,0,0.07177794071847048,1.5271437007265876,1380.1044748815505,-86.03015309070814
