,Unnamed: 0,time,trapSepX,PSD1ForceX,PSD2ForceX,MirrorX,forceX,region,pullingCycle,PSD1xDisplacement,PSD2xDisplacement,surfaceSepX,proteinLc
0,0,0.03,3232.8830759761145,0.3448247376288883,0.4264566722215714,3232.8830759761145,0.6408159672963415,stationary,0,1.2262863386423923,1.8665190329446806,1232.5927716120011,200.77489645169936
1,1,0.032,3232.897909793573,-0.0546972721011752,0.556794811137115,3232.897909793573,0.9057460416191451,stationary,0,-0.19451770774886978,2.4369840598772434,1230.7232851044646,686.474495984842
2,2,0.034,3232.8277332781317,0.7148485572476104,-0.3630379711995334,3232.8277332781317,0.06105673577642812,stationary,0,2.542187158551264,-1.5889475462902045,1236.66097776497,-190.8930429758143
3,3,0.036000000000000004,3232.8259362999434,0.29264407563421757,-0.5279052430240699,3232.8259362999434,0.18972534067085622,stationary,0,1.0407183501466033,-2.3105399630932824,1235.7440228228886,-130.55607092807264
4,4,0.038,3232.870910900561,0.24043463491749456,0.6762008032277167,3232.870910900561,0.817883084155111,stationary,0,0.8550480170396388,2.959601177634409,1231.3212132114802,474.132273122148
5,5,0.04,3232.8541554995068,0.25746145121866604,-0.052768925942136086,3232.8541554995068,0.4448848114195989,stationary,0,0.9155997986904426,-0.23095946443035437,1233.9574153060976,20.02999576438583
6,6,0.042,3232.863297658215,-0.2794219082609459,0.2789874095563927,3232.863297658215,0.8792046589086693,stationary,0,-0.9936968883785776,1.2210743641932853,1230.8774490717165,614.477961274258
7,7,0.044000000000000004,3232.8701456060157,0.009235040973209298,0.4644508726559449,3232.8701456060157,0.8276079158413678,stationary,0,0.03284220459391005,2.0328123585546205,1231.25127986174,494.2836427325123
8,8,0.046,3232.897717492888,0.03760449395031159,-0.14602268662271534,3232.897717492888,0.5081864097134865,stationary,0,0.13373134862631825,-0.6391132829583343,1233.550743445981,69.3878750884065
9,9,0.048,3232.907384543057,-0.05830709162750987,0.23843637708136436,3232.907384543057,0.7483717343544372,stationary,0,-0.2073551636708196,1.0435902753035404,1231.8520876862792,348.2632222596791
10,10,0.05,3232.90959230965,0.3050087389616998,-0.079431127451378,3232.90959230965,0.4077800667934611,stationary,0,1.0846903047826495,-0.34765480493929607,1234.2767603366706,-5.999934637634751
11,11,0.052000000000000005,3232.8863761959387,-0.6752650804675185,0.6438267462015641,3232.8863761959387,1.2595459133345415,stationary,0,-2.4014180329218955,2.817906141423193,1228.1953430131628,4889.0072660528
12,12,0.054000000000000006,3232.855131877824,-0.2451232745026523,0.4758498309407162,3232.855131877824,0.9604865527216843,stationary,0,-0.8717220373249375,2.08270341192572,1230.2911642349768,864.7794400894794
13,13,0.055999999999999994,3232.8574806186243,-0.12823047246946406,0.5460622730193264,3232.8574806186243,0.9371463727443952,stationary,0,-0.4560208692341494,2.3900097997154783,1230.4595204614604,783.3502445246145
14,14,0.057999999999999996,3232.868388801047,-0.6815992007891978,0.7707653489081661,3232.868388801047,1.3261822748486818,stationary,0,-2.423943810136151,3.373492050615332,1227.7034031962753,12919.719902260313
15,15,0.06,3232.865368952905,-0.22417796778011556,0.8647751791353222,3232.865368952905,1.1444765734577187,stationary,0,-0.7972350858691389,3.784955040486708,1228.99276869613,2089.9011226242633
16,16,0.062,3232.8732259432445,-0.11603822679538273,0.20457572706843774,3232.8732259432445,0.7603069769319102,stationary,0,-0.41266207656078646,0.8953887068117973,1231.733039440661,367.92639130461043
17,17,0.064,3232.9131269639092,0.09567740827751274,-0.4151647219750494,3232.9131269639092,0.34457893487371893,stationary,0,0.34025371698737156,-1.817096333226086,1234.72981427538,-46.02312521091655
18,18,0.066,3232.890215571021,-0.17915047363053976,0.027265756040465043,3232.890215571021,0.7032081148355024,stationary,0,-0.6371056203365618,0.11933698289216291,1232.156145839655,280.582907484146
19,19,0.068,3232.870427050505,-0.2132438361500759,-0.1266474722965048,3232.870427050505,0.6432981819267856,stationary,0,-0.7583504735439471,-0.5543116872443744,1232.5624678863803,203.71730075622816
20,20,0.07,3232.865923150519,-0.6655569733330062,0.3829073836809918,3232.865923150519,1.124232178506999,stationary,0,-2.3668934821747802,1.675912152511213,1229.1373115479967,1866.1344807032563
21,21,0.07200000000000001,3232.900090308274,-0.03344278512571612,0.029331817229570376,3232.900090308274,0.6313873011776432,stationary,0,-0.11893123100105261,0.12837973631563335,1232.676847515975,189.84470330345658
22,22,0.07400000000000001,3232.891013348885,0.12728357610999685,-0.10031832219929536,3232.891013348885,0.48619905084535386,stationary,0,0.4526534598141949,-0.4390740488655677,1233.7004248211156,51.43183930418174
23,23,0.076,3232.878866300431,-0.07915027208857382,-0.15655498134747955,3232.878866300431,0.5612976453705472,stationary,0,-0.281478927612515,-0.6852111162081826,1233.154137553194,116.85218017460988
24,24,0.078,3232.9252935044533,0.5108659940032522,0.17273401281854162,3232.9252935044533,0.4309340094076447,stationary,0,1.8167721771672303,0.756023632795233,1234.1277786626706,9.939730493420855
25,25,0.08,3232.8476129097066,-0.11161088781938344,-0.34259664327760936,3232.8476129097066,0.484507122270887,stationary,0,-0.39691730911707135,-1.499479775915841,1233.6690582569493,50.14986205948018
26,26,0.08199999999999999,3232.803962033581,-0.20524029526995974,0.1732241489842082,3232.803962033581,0.789232222127084,stationary,0,-0.7298878031753984,0.7581688647532311,1231.4580441599326,418.87995501686856
27,27,0.084,3232.8493301833587,-0.033511293764952134,0.08587978979862122,3232.8493301833587,0.6596955417817867,stationary,0,-0.1191748655179721,0.37587936277177253,1232.4247444771925,223.53214930908078
