,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2149.965767256238,2644.5646653786866,10.112302849197752,0.2615195277293827,1.1427874938083933e-10,1,9.8889443375337e-05,2.090645852465612e-16,2.04446808732279e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2054.210558346962,2618.5665032927363,10.479632971905394,0.24987196692029112,7.442116305634702e-11,1,9.542318921672895e-05,2.090645852465612e-16,1.9036553598758677e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2824.5760161025905,1887.0629220145586,5.4923794808041375,0.34357839413861374,2.170774221282407e-11,1,0.00018207044933712233,2.090645852465612e-16,6.9304175192839215e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2644.792192679776,1806.1461879756832,5.61421145874637,0.3217096828730759,2.5638763442817012e-11,1,0.0001781194041849104,2.090645852465612e-16,6.6328921940175885e-06
