,time,trapSepX,PSD1ForceX,PSD2ForceX,MirrorX,forceX
0,0.036,3310.0133026555777,-0.5839358836617622,0.6795565923991959,3310.0133026555777,0.631746238030479
1,0.038,3309.9625262519094,-0.5744673513572273,0.4850115674817979,3309.9625262519094,0.5297394594195126
2,0.04,3309.988754770762,-0.6212239047281118,0.6389351341547623,3309.988754770762,0.630079519441437
3,0.042,3309.986000159288,-0.3614774445072077,0.14106182671693956,3309.986000159288,0.2512696356120736
4,0.044,3310.0280538832076,-0.1850547867731829,-0.4066380973447327,3310.0280538832076,-0.1107916552857749
5,0.046,3310.0158446012983,0.10100318416817108,-0.19291263192086605,3310.0158446012983,-0.14695790804451858
6,0.048,3310.0075378850584,0.0893407862083079,-0.04941213907079259,3310.0075378850584,-0.06937646263955025
7,0.05,3309.9475405498542,0.15393426507968477,0.37922888636711266,3309.9475405498542,0.11264731064371394
8,0.052,3310.0013266125643,-0.3576006661236498,0.19451171077461668,3310.0013266125643,0.27605618844913327
9,0.054,3309.9989683926665,0.3247320800736723,-0.177527700054552,3309.9989683926665,-0.2511298900641122
10,0.056,3309.9934900899193,0.010956964857411534,-0.16487311027361737,3309.9934900899193,-0.08791503756551446
11,0.058,3309.9758052998814,-0.3440173211401939,0.2796743551275287,3309.9758052998814,0.3118458381338613
12,0.06,3309.9725869974113,-0.39526677183584524,0.1346102240011371,3309.9725869974113,0.26493849791849117
13,0.062,3310.0028577438748,-0.27712532360432357,0.22056585127410075,3310.0028577438748,0.24884558743921215
14,0.064,3309.9505022773437,-0.23794970083593783,0.5975194525700618,3309.9505022773437,0.4177345767029998
15,0.066,3309.9773422535445,-0.07871373483223669,0.19706768521904416,3309.9773422535445,0.13789071002564043
16,0.068,3309.990343596811,-0.5115893610282048,0.45721995267368676,3309.990343596811,0.4844046568509458
17,0.07,3309.9949947265727,-0.7624859729104984,0.4556074064005092,3309.9949947265727,0.6090466896555038
18,0.072,3309.983179184903,0.14751965122392216,-0.23249213718879802,3309.983179184903,-0.1900058942063601
19,0.074,3309.996169932014,0.2932069000780817,-0.014473931823422827,3309.996169932014,-0.15384041595075226
20,0.076,3310.033718782127,0.1272464652306918,-0.15479859452978012,3310.033718782127,-0.14102252988023595
21,0.078,3309.9435697859253,-0.20409342636173838,-0.209141935544522,3309.9435697859253,-0.002524254591391814
22,0.08,3310.044411997356,-0.12114668251083396,0.40520948766842435,3310.044411997356,0.26317808508962914
23,0.082,3309.9889086509593,0.4323769340871029,0.13470910321216842,3309.9889086509593,-0.14883391543746727
24,0.084,3310.013312173352,-0.04145931558991137,-0.1557154422679556,3310.013312173352,-0.05712806333902212
25,0.086,3309.9842968238395,-0.21709476723295476,-0.16105190721485055,3309.9842968238395,0.028021430009052106
26,0.088,3309.9956851037364,0.018846724437927433,0.4370959067930916,3309.9956851037364,0.2091245911775821
27,0.09,3310.0375963362,-0.3435030336809481,0.17180688204539132,3310.0375963362,0.2576549578631697
28,0.092,3309.9827464333484,-0.9149302664224715,0.17341942831856894,3309.9827464333484,0.5441748473705202
29,0.094,3310.015137164039,-0.23376640199661994,-0.1702078031916407,3310.015137164039,0.03177929940248962
30,0.096,3310.0217617166763,-0.3968799158913012,0.4951612172497894,3310.0217617166763,0.44602056657054534
31,0.098,3309.9702417726467,0.39440302540678035,0.15374211091651277,3309.9702417726467,-0.12033045724513379
32,0.1,3309.987809150066,-0.13435194284843457,0.3974426851240974,3309.987809150066,0.265897313986266
33,0.102,3309.992787375954,-0.30587104279772204,0.2991291057033195,3309.992787375954,0.3025000742505208
34,0.104,3309.993956646824,-0.12917341441216262,0.403646026594996,3309.993956646824,0.2664097205035793
35,0.106,3310.0270413561366,-0.21431402391840496,0.09915192627994576,3310.0270413561366,0.15673297509917536
36,0.108,3310.0009540129067,-0.23424529211452924,0.16858090348460028,3310.0009540129067,0.20141309779956476
37,0.11,3310.0009306841202,-0.07339592555289484,-0.14606355541000063,3310.0009306841202,-0.03633381492855289
38,0.112,3309.970178343317,-0.3378422805946198,0.0358738384915871,3309.970178343317,0.18685805954310344
39,0.114,3309.955050146622,0.257358883897626,-0.322693014029516,3309.955050146622,-0.29002594896357103
40,0.116,3309.916573021766,0.15561538229061175,-0.1616971029270114,3309.916573021766,-0.15865624260881156
41,0.118,3309.9440331585342,-0.27835961350652116,0.1535195440902342,3309.9440331585342,0.21593957879837766
42,0.12,3309.990132256063,-0.05174993832182877,-0.17728014762118088,3309.990132256063,-0.06276510464967605
43,0.122,3310.0125984310066,-0.6164883560634676,0.3572181613469076,3310.0125984310066,0.4868532587051876
44,0.124,3309.999823749976,-0.011168938501463308,-0.19889429257992183,3309.999823749976,-0.09386267703922926
45,0.126,3310.000051461436,0.08086774000318528,-0.11246606520689084,3310.000051461436,-0.09666690260503806
46,0.128,3309.9678702201804,0.34284320671826746,-0.024697297992489677,3309.9678702201804,-0.18377025235537855
47,0.13,3309.98901606822,-0.4460693952227576,0.07252435723760162,3309.98901606822,0.2592968762301796
48,0.132,3309.9424348162947,0.2352342630511184,-0.0028111466019412838,3309.9424348162947,-0.11902270482652984
49,0.134,3309.9495908515087,-0.5382422765408063,0.15959795752568326,3309.9495908515087,0.34892011703324477
50,0.136,3309.991033020982,-0.1620706261381763,0.12552804442540913,3309.991033020982,0.14379933528179273
51,0.138,3309.987237913275,-0.04108071793912069,0.6250899181749863,3309.987237913275,0.3330853180570535
52,0.14,3310.008459766798,-0.49111097305623264,0.06580021648133547,3310.008459766798,0.27845559476878406
