,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2223.75794215015,2801.5388235004616,10.35706149146194,0.27049552866032217,6.718501023296682e-12,1,9.65524826539237e-05,2.090645852465612e-16,1.948979906820951e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2377.775559568449,3035.0172470650614,10.493436197679694,0.2892300662900265,9.114421534201814e-12,1,9.529766810047598e-05,2.090645852465612e-16,1.8986504593029213e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2788.638439198465,2098.3956120756397,6.186180413458171,0.3392069858665186,1.8774455326757435e-11,1,0.00016165063628349377,2.090645852465612e-16,5.463051668510778e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2739.384336647401,1957.6568195955615,5.875042532625369,0.3332157697113296,1.548507947992932e-11,1,0.00017021153369474107,2.090645852465612e-16,6.057012097948205e-06
