,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2012.755295301985,2756.3793127970735,11.258367618506837,0.24482939322980146,8.795689088341176e-12,1,8.882282351094758e-05,2.090645852465612e-16,1.6494137859932134e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2321.433306327066,3037.4588027229943,10.75676316692821,0.2823766550946939,7.031514522005212e-12,1,9.296476872099512e-05,2.090645852465612e-16,1.806829853329153e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2988.2665362195626,2155.4103880157463,5.9297729115845454,0.3634895332677725,1.2767705013692101e-11,1,0.00016864052214316273,2.090645852465612e-16,5.945718553360684e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2812.502660503357,2083.4423239452767,6.089981341725137,0.34210980412545744,9.686836937015766e-12,1,0.00016420411556084102,2.090645852465612e-16,5.637006648986059e-06
