,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,1938.0613602010048,2669.0592168607654,11.321868542555803,0.23574370315540255,8.660304459072294e-12,1,8.832464325488976e-05,2.090645852465612e-16,1.6309635498528397e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2297.2173285408167,3013.2969612373586,10.78368694544151,0.27943104955500797,6.230989394955272e-12,1,9.273266231293193e-05,2.090645852465612e-16,1.7978188427899303e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2914.542665204179,2189.885818792908,6.177012435050296,0.3545218407472863,1.4348611625576811e-11,1,0.00016189055963780938,2.090645852465612e-16,5.479280325544093e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2752.7117122455957,2121.045065975456,6.334561939350163,0.33483689737084577,1.3629362946374116e-11,1,0.0001578641127159909,2.090645852465612e-16,5.210114853446479e-06
