,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2316.4207741319383,2583.1853989423107,9.1678088105871,0.2817669360599248,1.0621013489108372e-11,1,0.00010907731832771071,2.090645852465612e-16,2.487421453385392e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2665.6633280041083,3008.3572491746827,9.277939424909636,0.3242484253667115,6.132264462156512e-12,1,0.00010778255323754064,2.090645852465612e-16,2.4287197574197685e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2867.7366234120595,2015.6293467169844,5.778283314010267,0.34882840407458143,1.963320979605881e-11,1,0.0001730617807498913,2.090645852465612e-16,6.26156376354568e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,3032.588394310396,1924.9989372408975,5.218485091918043,0.3688807965020685,1.3185148169513788e-11,1,0.0001916264935869448,2.090645852465612e-16,7.677000642591204e-06
