,time,trapSepX,PSD1ForceX,PSD2ForceX,MirrorX,forceX
0,0.03,3232.8830759761145,0.34482473762888827,0.4264566722215714,3232.8830759761145,0.04081596729634157
1,0.032,3232.897909793573,-0.0546972721011752,0.556794811137115,3232.897909793573,0.3057460416191451
2,0.034,3232.8277332781317,0.7148485572476104,-0.3630379711995334,3232.8277332781317,-0.5389432642235719
3,0.036,3232.825936299943,0.29264407563421757,-0.5279052430240699,3232.825936299943,-0.41027465932914375
4,0.038,3232.870910900561,0.24043463491749456,0.6762008032277167,3232.870910900561,0.21788308415511107
5,0.04,3232.854155499507,0.257461451218666,-0.052768925942136086,3232.854155499507,-0.15511518858040102
6,0.042,3232.8632976582144,-0.2794219082609459,0.2789874095563927,3232.8632976582144,0.2792046589086693
7,0.044,3232.8701456060153,0.009235040973209298,0.464450872655945,3232.8701456060153,0.22760791584136783
8,0.046,3232.8977174928878,0.03760449395031159,-0.14602268662271536,3232.8977174928878,-0.09181359028651348
9,0.048,3232.907384543057,-0.058307091627509876,0.2384363770813644,3232.907384543057,0.14837173435443712
10,0.05,3232.90959230965,0.3050087389616998,-0.079431127451378,3232.90959230965,-0.19221993320653888
11,0.052,3232.886376195939,-0.6752650804675185,0.6438267462015641,3232.886376195939,0.6595459133345414
12,0.054,3232.8551318778236,-0.24512327450265228,0.47584983094071626,3232.8551318778236,0.3604865527216843
13,0.056,3232.857480618624,-0.12823047246946404,0.5460622730193264,3232.857480618624,0.33714637274439524
14,0.058,3232.868388801047,-0.6815992007891979,0.7707653489081661,3232.868388801047,0.7261822748486819
15,0.06,3232.8653689529056,-0.22417796778011553,0.8647751791353222,3232.8653689529056,0.5444765734577188
16,0.062,3232.8732259432445,-0.11603822679538273,0.20457572706843777,3232.8732259432445,0.16030697693191026
17,0.064,3232.9131269639097,0.09567740827751274,-0.4151647219750494,3232.9131269639097,-0.25542106512628104
18,0.066,3232.8902155710207,-0.17915047363053976,0.027265756040465043,3232.8902155710207,0.10320811483550241
19,0.068,3232.870427050505,-0.2132438361500759,-0.1266474722965048,3232.870427050505,0.04329818192678554
20,0.07,3232.865923150519,-0.6655569733330062,0.3829073836809918,3232.865923150519,0.524232178506999
21,0.072,3232.900090308274,-0.03344278512571612,0.029331817229570383,3232.900090308274,0.031387301177643254
22,0.074,3232.891013348885,0.12728357610999685,-0.10031832219929537,3232.891013348885,-0.11380094915464611
23,0.076,3232.8788663004307,-0.07915027208857382,-0.15655498134747955,3232.8788663004307,-0.038702354629452866
24,0.078,3232.9252935044533,0.5108659940032522,0.17273401281854162,3232.9252935044533,-0.16906599059235528
25,0.08,3232.8476129097066,-0.11161088781938343,-0.34259664327760936,3232.8476129097066,-0.11549287772911296
26,0.082,3232.8039620335812,-0.20524029526995974,0.1732241489842082,3232.8039620335812,0.18923222212708396
27,0.084,3232.849330183359,-0.033511293764952134,0.08587978979862122,3232.849330183359,0.05969554178178668
28,0.086,3232.8344746049106,0.5438010766296167,-0.13097967939629282,3232.8344746049106,-0.3373903780129548
29,0.088,3232.8525254069423,-0.005990685749139031,0.06712720231413215,3232.8525254069423,0.03655894403163559
30,0.09,3232.8593619514727,-0.18316956223961744,0.39270439482152075,3232.8593619514727,0.2879369785305691
31,0.092,3232.9038917173757,0.14594950617381133,0.10312214224754568,3232.9038917173757,-0.021413681963132827
32,0.094,3232.8321556368187,-0.1928078873401028,0.3192944053131235,3232.8321556368187,0.25605114632661313
33,0.096,3232.855699213406,-0.15993902124237153,0.13209571103593226,3232.855699213406,0.1460173661391519
34,0.098,3232.8340005641976,-0.12455239898284394,0.24672489857248267,3232.8340005641976,0.1856386487776633
35,0.1,3232.8813007600234,-0.3850077286720827,0.05768371120504782,3232.8813007600234,0.22134571993856528
36,0.102,3232.8636085631515,0.3247636762425696,0.06186105495174415,3232.8636085631515,-0.1314513106454127
37,0.104,3232.8612007062843,-0.052039442513414365,0.24923523987292168,3232.8612007062843,0.15063734119316802
38,0.106,3232.8829125568254,0.09520064927135508,0.3362240162979805,3232.8829125568254,0.1205116835133127
39,0.108,3232.885793479369,0.06573938760867454,-0.0725443097114777,3232.885793479369,-0.06914184866007611
40,0.11,3232.8569991154877,0.07360642056821985,0.45598606716351053,3232.8569991154877,0.19118982329764533
41,0.112,3232.8773859910416,-0.44413450452038944,0.6614246814110286,3232.8773859910416,0.552779592965709
42,0.114,3232.8399691289715,-0.23262337664938065,0.30227308221957694,3232.8399691289715,0.26744822943447877
43,0.116,3232.9132412935055,-0.0650507357108923,0.18959952053018417,3232.9132412935055,0.12732512812053823
44,0.118,3232.86651945219,0.3255452859594042,0.46416240792651536,3232.86651945219,0.06930856098355559
45,0.12,3232.8713408889007,0.20681344718290112,-0.5159285619231097,3232.8713408889007,-0.3613710045530054
46,0.122,3232.898092510366,0.040195088293608336,0.05581662403721314,3232.898092510366,0.007810767871802401
47,0.124,3232.9286124195587,0.6793931716698772,-0.23314363638089955,3232.9286124195587,-0.4562684040253884
48,0.126,3232.906830980361,0.34935394818740984,-0.557656143335799,3232.906830980361,-0.45350504576160444
49,0.128,3232.861067405636,-0.0763592454066757,0.016222221844751205,3232.861067405636,0.046290733625713454
50,0.13,3232.854945254206,-0.13514526081147543,0.39692616657934926,3232.854945254206,0.26603571369541235
51,0.132,3232.901175194182,0.10214905523559378,0.40608135163047465,3232.901175194182,0.15196614819744042
52,0.134,3232.894734512021,-0.5587120201620159,0.9029261469804003,3232.894734512021,0.7308190835712081
