,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,1550.2283523438834,2443.1367574373644,12.956256100832153,0.18856811245653343,1.339163609566424e-11,1,7.718279047724073e-05,2.090645852465612e-16,1.2454360236256966e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,1636.5342954043433,2738.759098542481,13.758026579329101,0.1990662747124911,6.954541911809636e-12,1,7.268484286129096e-05,2.090645852465612e-16,1.1045062632266174e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2316.1703621727706,1892.1396046684872,6.7159908793778,0.2817364762180535,1.6277315204040463e-11,1,0.00014889835587338448,2.090645852465612e-16,4.6351124612378825e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2273.6378337040755,1871.4134395464791,6.7666837293871405,0.2765628651179732,1.879524631671849e-11,1,0.0001477828785845397,2.090645852465612e-16,4.565924380895806e-06
