,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2696.990839155204,3176.1945523324002,9.681776365741639,0.32805907018996705,9.085098187237681e-12,1,0.00010328683107559039,2.090645852465612e-16,2.2303364263460577e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2966.549905076895,3585.701239381419,9.936875859753778,0.36084794557051736,8.835964788906599e-12,1,0.00010063525137213283,2.090645852465612e-16,2.117291932216984e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2421.573539509056,1891.5732671978494,6.421743087146281,0.2945576055485637,2.522501274700171e-11,1,0.00015572096024856453,2.090645852465612e-16,5.069610778065187e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2332.4465762383547,1791.4850287961256,6.314353616866585,0.2837162974228749,2.0260359047801165e-11,1,0.00015836933765141852,2.090645852465612e-16,5.243516898297587e-06
