,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2696.218465108297,2915.889792897328,8.89085338671116,0.3279651194401208,9.483203766750703e-12,1,0.00011247514231813384,2.090645852465612e-16,2.6448044924950597e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,3027.3409536214563,3416.091046508922,9.276742946567245,0.3682425034503094,1.0256585188912266e-11,1,0.00010779645461342,2.090645852465612e-16,2.4293462915390756e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2853.9229294668417,1950.2031891944428,5.617784081913762,0.3471481211734439,1.1969708007942862e-11,1,0.00017800612935969917,2.090645852465612e-16,6.624458516613829e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2723.667812631299,1841.6343962239173,5.558744347263515,0.3313040286032449,1.5782242300742696e-11,1,0.0001798967424167087,2.090645852465612e-16,6.765923289685289e-06
