,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2767.5094610114484,2902.340190709089,8.621575252774907,0.3366368796438856,9.511813504937229e-12,1,0.00011598808462271949,2.090645852465612e-16,2.81259515740899e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,3074.1635362443535,3318.42289766708,8.874260766386342,0.37393795213191194,5.19802317220936e-12,1,0.00011268544235118377,2.090645852465612e-16,2.6547039678741273e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,3181.7647834007903,2015.1886100299985,5.206849810842467,0.38702645231550126,1.79451832525712e-11,1,0.00019205470415483336,2.090645852465612e-16,7.711349189517855e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,3022.973086425009,1911.8875235212158,5.19942694021162,0.36771120077386854,1.0564871364558391e-11,1,0.0001923288876830144,2.090645852465612e-16,7.733382850984983e-06
