,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2261.711954769429,3046.3217477191392,11.073015273799971,0.27511221400796654,7.447112535205322e-12,1,9.030963791462612e-05,2.090645852465612e-16,1.7050953626933012e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2541.102523657512,3290.8654286171586,10.646708350979834,0.3090969828542636,7.796988500801157e-12,1,9.392574371664538e-05,2.090645852465612e-16,1.844377248512502e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2265.7798366518255,1914.6509133432635,6.947032285872024,0.27560702679287,2.028598779703669e-11,1,0.00014394635850961435,2.090645852465612e-16,4.331934054886544e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2312.4888324598883,1807.5144637914532,6.425834837721106,0.28128865889626264,1.3843037889699033e-11,1,0.00015562180249790634,2.090645852465612e-16,5.0631565261464835e-06
