,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2158.6006718446465,2754.174336912358,10.489300829665428,0.2625698682530975,1.2175460048338968e-11,1,9.533523885327412e-05,2.090645852465612e-16,1.9001478262376557e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2148.4182214290304,3048.5111727133735,11.665312716092284,0.2613312859164038,8.00883452388111e-12,1,8.572423426081852e-05,2.090645852465612e-16,1.5363412809837352e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2353.0126180012758,1902.701512797952,6.647736994269805,0.28621792866324836,2.4104567682564296e-11,1,0.0001504271304448381,2.090645852465612e-16,4.730780664666598e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2308.7920054501074,1895.0923799232944,6.747967729899889,0.2808389808277002,1.668341620142299e-11,1,0.00014819276558911994,2.090645852465612e-16,4.5912873793321865e-06
