,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2733.7669943457167,2933.191069660258,8.820765568639402,0.3325324822245221,1.1471290303692533e-11,1,0.0001133688444861651,2.090645852465612e-16,2.687001515678863e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2941.9447218625264,3259.2350241967824,9.107697382913008,0.35785499750040534,7.158801451212495e-12,1,0.0001097972361132798,2.090645852465612e-16,2.5203641122625615e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2803.437155877771,1909.8254108011413,5.600544651140602,0.34100708587551176,2.5587778233140154e-11,1,0.00017855406255824438,2.090645852465612e-16,6.665303708492967e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2593.2663139646024,1798.8601264162883,5.7026628772802095,0.3154421303042597,1.5402323194720688e-11,1,0.00017535667485869924,2.090645852465612e-16,6.428728348226476e-06
