,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2412.6081327493334,3135.7278492946657,10.685109995712299,0.2934670630955568,1.1048461911670091e-11,1,9.358818022474997e-05,2.090645852465612e-16,1.8311439087214986e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2638.196392237242,3314.0343385782194,10.327074346946336,0.3209073767884864,6.9060748001536256e-12,1,9.68328460127427e-05,2.090645852465612e-16,1.9603150040150847e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,3074.6923535221317,2077.7703777500847,5.55550194769968,0.3740022768978435,1.5591190492532517e-11,1,0.00018000173691129053,2.090645852465612e-16,6.773823288209186e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2803.561387315523,1959.9655481815569,5.747325435008096,0.3410221972542253,1.705961219008615e-11,1,0.00017399397533830296,2.090645852465612e-16,6.329201069410377e-06
