,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2182.598693739938,2977.957917235255,11.216880341220072,0.26548896187220444,1.1107387832388487e-11,1,8.915134775265232e-05,2.090645852465612e-16,1.6616375476153902e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2360.2598879210022,3212.7824536113126,11.190485148523539,0.28709947879562703,7.003342378817653e-12,1,8.936163059310605e-05,2.090645852465612e-16,1.6694854592045154e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2329.492266497716,1970.6200758980235,6.954550283183555,0.2833569383577656,1.5079293324366014e-11,1,0.0001437907498372755,2.090645852465612e-16,4.3225733157343545e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2266.2951407328983,1954.4153743390464,7.089699444082679,0.27566970782806216,1.610642593697967e-11,1,0.00014104970286640803,2.090645852465612e-16,4.159343828535421e-06
