,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,1876.8137189475171,2436.7357977459674,10.67369271645057,0.2282936058286939,1.7121885157492953e-11,1,9.3688288258362e-05,2.090645852465612e-16,1.835063426269231e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2068.1167683819785,2721.465454885561,10.818204621608317,0.2515635033792666,8.665690587702469e-12,1,9.243677994429842e-05,2.090645852465612e-16,1.7863645342760538e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2927.6468156718333,2214.60494952102,6.218777299045449,0.35611581554157773,1.704045817843241e-11,1,0.00016080331420671633,2.090645852465612e-16,5.405930551020029e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2885.5471085615177,2034.7995820691863,5.797234826516618,0.3509948523668543,1.342754846717805e-11,1,0.0001724960312847754,2.090645852465612e-16,6.220691815394074e-06
