,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2321.222986647035,2551.6832904209973,9.037271479203675,0.2823510720346138,9.25540031091627e-12,1,0.00011065286710719857,2.090645852465612e-16,2.5597986982402526e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2213.2539573789195,2778.3315738585666,10.32001305369283,0.26921783522981024,6.997066760977519e-12,1,9.689910223923294e-05,2.090645852465612e-16,1.962998546126872e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2767.2717267283606,1874.8602864218562,5.56986316019972,0.336607961900922,2.8434371064510425e-11,1,0.00017953762439724692,2.090645852465612e-16,6.7389373672543535e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2697.4561266462924,1845.456484393515,5.6244083063744155,0.3281156672608512,1.6209452878730788e-11,1,0.00017779648018559596,2.090645852465612e-16,6.60886361080372e-06
