,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2311.713163589228,2734.59447052454,9.724928275129452,0.2811943073675924,8.97710839330115e-12,1,0.0001028285218881667,2.090645852465612e-16,2.210587232303299e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2487.1006292796105,3093.463932869478,10.225372105893836,0.3025282503984795,7.28272120352887e-12,1,9.779595203421563e-05,2.090645852465612e-16,1.999503777377562e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,1878.3214258505377,1703.7219182057686,7.456863954338272,0.2284770016777057,3.5728315524849355e-11,1,0.00013410463247330907,2.090645852465612e-16,3.7598284666791765e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2056.4242148387225,1776.221524950462,7.100874568097692,0.25014123371937097,1.6846835301187228e-11,1,0.0001408277234599706,2.090645852465612e-16,4.146262451762142e-06
