,beadDiameter,viscosity,temperature,Lower Bound (Hz),Upper Bound (Hz),Exclusion Ranges (Hz),cornerFrequency,alpha,distanceResponse,stiffness,RMSE,Applied,beta,diffusionTheory,diffusionExp
PSD1x,2050.0,0.001002,20,20,25000,30.9;93.5,2595.2395302340406,3031.7872542572277,9.603923605478489,0.31568215021283247,1.1259660137794101e-11,1,0.00010412411021569948,2.090645852465612e-16,2.2666427608810487e-06
PSD1y,2050.0,0.001002,20,20,25000,30.9;93.5,2914.7478898656177,3542.689607073496,9.992163422593359,0.3545468040547749,6.372207954263378e-12,1,0.00010007842723417555,2.090645852465612e-16,2.0939264098235464e-06
PSD2x,2050.0,0.001002,20,20,25000,30.9;93.5,2463.9411000761816,1871.9101429611267,6.24571405550943,0.2997111501302064,1.6690466417528416e-11,1,0.00016010979547132585,2.090645852465612e-16,5.359401292890959e-06
PSD2y,2050.0,0.001002,20,20,25000,30.9;93.5,2500.786661894765,1836.4521808997756,6.037128245718669,0.3041930047124851,4.802821474138332e-11,1,0.00016564166923390552,2.090645852465612e-16,5.736139016508858e-06
